Tweet,Sentiment
RT @elonmusk: Thanks Tesla suppliers for providing us with critical parts!,Positive
"@TaylorMcFayden Tesla drug tests, too. Peak irony.",Neutral
"""The Tesla Cyber Truck"" is made for bendy ocean believers. You need one, when you're on the run from us. Order now.â€¦ https://t.co/JLtrO0WIWp",Neutral
@wapplehouse The Tesla Owners Club of Austin.. duh. Are you not a member?,Negative
"@ValueAnalyst1 â€œAnd here, the Tesla workers squat to relieve themselves.
Placing the toilets on the assembly line râ€¦ https://t.co/Gjry52woa3",Neutral
@theKarenKing Tesla stocks or Disney or Apple or Amazon,Neutral
"RT @Tesla: 6,000+ Superchargers across Europe â€” at 600 locations and counting!

ğŸ“¸ by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36Hâ€¦",Neutral
@emceePMC @lorakolodny What does pushing/delaying deliveries have anything to do with this? Tesla canâ€™t recognize râ€¦ https://t.co/UFaTM1tEOs,Neutral
"RT @alex_avoigt: The Volvo CEO Samuelsson is wrong about future costs for BEVs

BEVs will in the future be at lower costs and lower price pâ€¦",Negative
"RT @SafeTesla: ğŸ¥° We always hear you, family!

ğŸ‰ Thats why we reduced the amount of tokens to hold for Tesla give away to 200B and extend itâ€¦",Neutral
"@yasuhira720 ã“ã‚Œãƒˆãƒ©ãƒƒã‚¯ã®å½±ã‹ã‚‰å‡ºã¦ããŸã®è­¦å¯Ÿã˜ã‚ƒãªã„ã®ï¼Ÿ
æœ€å¾Œã‚„ã™ã²ã‚‰ã•ã‚“ã®è»Šã«æ¥ã¦ä½•è¨€ã‚ã‚ŒãŸã®ï¼Ÿ",Neutral
RT @markusdd5: Der Spiegel hat die Marktwirtschaft fast verstanden. Sie sind ganz nah dran! Ein Unternehmer baut etwas das in SEINEM Intereâ€¦,Positive
"@JaviCatala Bueno, los de @SpaceX mandaron un Tesla de esos, pero no es lo mismo https://t.co/JWGJsB8InG",Neutral
RT @highpriestexx: he drug tests tesla workers,Neutral
@MarkGabbs @WhatDrivesUs @Tesla What a joke. I've not had to use the supercharger network yet but I hear it's great.,Positive
